"iso3"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"MEX"	8680.832593	"Mexico"	1171867608197.72	1087117783073.31	121858251	128932753	8431.66501744758	0
"MHL"		"Marshall Islands"	183814300	244462400	57444	59194	4129.850998412	0
"MKD"	214.5889468	"North Macedonia"	10064515432.03	12116981815.23	2070226	2072531	5846.4658985704	0
"MLI"	558.3792497	"Mali"	13104764378.71	17465392779.04	17438772	20250834	862.453012011258	0
"MLT"	84.9089404	"Malta"	11091434483.52	14917038504.29	445053	515332	28946.4626770509	1
"MMR"	2107.821055	"Myanmar"	63045305229.1	78930257227.09	52680724	54409794	1450.6626734718	0
"MNE"	98.628193	"Montenegro"	4054728172.94	4780722121.96	622159	621306	7694.63375850225	0
"MNG"	108.2620992	"Mongolia"	11619892396.08	13312981594.57	2998433	3278292	4060.95051769946	0
"MNP"		"Northern Mariana Islands"	9.1e+08		55779	57557		
"MOZ"	248.4753762	"Mozambique"	15950979333.16	14028811071.76	27042001	31255435	448.843891366733	0
"MRT"	230.9354929	"Mauritania"	6166863960	7915985513.7	4046304	4649660	1702.48695898195	0
"MUS"	19.73797834	"Mauritius"	11692287066.38	10926820603.4	1262605	1265740	8632.75285872296	0
"MWI"	83.29061827	"Malawi"	6373212640.85	12172128469.57	16745305	19129955	636.286309589855	0
"MYS"	3830.234243	"Malaysia"	301354803994.37	337006023789.7	30270965	32365998	10412.34766775	0
"NAM"	401.8593084	"Namibia"	11335179562.02	10562637375.59	2314901	2540916	4157.01950618989	0
"NCL"		"New Caledonia"	8738205836.74	9435529927.25	268700	271960	34694.5504017135	1
"NER"	202.4044772	"Niger"	9683867893.68	13741378450.14	20001663	24206636	567.669892261775	0
"NGA"	4466.397816	"Nigeria"	486803295097.89	432293776262.4	181137454	206139587	2097.09247289023	0
"NIC"	77.9196503	"Nicaragua"	12756706583.31	12586941392.63	6223234	6624554	1900.04359427518	0
"NLD"	13752.01041	"Netherlands"	765572770634.38	913865395789.89	16939923	17441500	52396.0322099527	1
"NOR"	8251.716513	"Norway"	385801550067.17	362198318435.26	5188607	5379475	67329.6777910967	1
