"iso3"	"milex_usd_1983"	"milex_usd_1984"	"milex_usd_1985"	"milex_usd_1986"	"milex_usd_1987"	"milex_usd_1988"	"milex_usd_1989"	"milex_usd_1990"	"milex_usd_1991"	"milex_usd_1992"	"milex_usd_1993"	"milex_usd_1994"	"milex_usd_1995"	"milex_usd_1996"	"milex_usd_1997"	"milex_usd_1998"	"milex_usd_1999"	"milex_usd_2000"	"milex_usd_2001"	"milex_usd_2002"	"milex_usd_2003"	"milex_usd_2004"	"milex_usd_2005"	"milex_usd_2006"	"milex_usd_2007"	"milex_usd_2008"	"milex_usd_2009"	"milex_usd_2010"	"milex_usd_2011"	"milex_usd_2012"	"milex_usd_2013"	"milex_usd_2014"	"milex_usd_2015"	"milex_usd_2016"	"milex_usd_2017"	"milex_usd_2018"	"milex_usd_2019"	"milex_usd_2020"	"milex_usd_2021"	"country_name"	"gdp_2015"	"gdp_2020"	"population_2015"	"population_2020"	"gdppc_2020"	"high_income_2020"
"CHE"	1946.035043	1807.905757	1966.928897	2565.428146	3020.406521	3276.156632	3082.038963	4056.408189	4016.764413	4138.043834	3611.212626	3899.275421	4645.360982	4239.447901	3498.218851	3494.250971	3146.822887	2800.146846	2763.655325	2882.696762	3270.337504	3503.819863	3484.636759	3328.973394	3524.746536	4098.459038	4055.544323	4115.407849	4973.863849	4592.165378	5032.883664	4612.776477	4521.076909	4571.348247	4628.401509	4736.844967	5021.93159	6389.669862	5738.402626	"Switzerland"	702149580770.9	752248045730.11	8282396	8636561	87100.4148213751	1
"CHL"	1497.684301	1462.262953	1137.635211	1114.393822	1166.78137	999.9510228	988.9344232	1031.475584	1038.039494	1168.858391	1291.053676	1466.048832	1827.997369	1904.105834	2120.702608	2112.373123	2043.134812	2103.46061	1893.098224	1779.553138	2067.983998	2687.320866	3100.391591	3855.358069	4022.478104	4641.877576	3902.221588	4894.081125	5686.75207	5466.101782	5529.879481	5102.777422	4630.772774	4796.010962	5370.018135	5545.831933	5182.156529	5286.204683	6230.436399	"Chile"	242496649874.24	252727193710.02	17969356	19116209	13220.570758042	1
"CHN"							11251.33263	9926.349251	9802.375366	12244.26784	12360.22586	9867.120066	12385.12947	14275.40082	15699.58677	17031.7802	20473.91509	22237.14015	26561.463	30284.12741	33144.00048	37904.57183	42789.95365	51453.37323	62136.59075	78840.80282	96601.66675	105522.6481	125286.3732	145127.6096	164070.4693	182109.326	196538.8272	198538.3614	210443.0347	232530.596	240332.5555	257973.4298	293351.8664	"China"	11061553079871.5	14687673892882	1379860000	1411100000	10408.6697561349	0
"CIV"	76.25188288	70.16479882	69.56504319	96.55911246	122.7802234	128.1022535	129.6769987	143.9737021	144.1687019	156.7973343	148.6352384	84.07164921		102.6601401	93.52561126						213.0075705	250.8115884	249.8729781	267.3602479	323.6191935	368.9105749	420.0590445	387.69214	357.330259	407.5965341	430.0036108	521.2605293	569.6716215	602.5387312	501.5787322	607.8482179	535.9513822	607.15589	637.6569128	"Cote dIvoire"	45814637971.47	61348579465.1	23226148	26378275	2325.72370502241	0
"CMR"	129.8987577	127.2436418	116.1902939	145.4118612	163.1280009	154.3706857	146.8693575	180.5777459	178.1983432	183.7966391	168.1752206	94.51734044	113.5755327	116.9363036	118.7111188	137.2459115	144.7046365	123.0343439	124.3017084	145.6266105	188.4996559	221.1079247	223.0846231	256.9278433	296.6989173	346.5861257	343.265154	354.0543978	347.4778857	354.4474631	392.8406309	401.5291181	353.8154946	387.4378309	408.1575751	429.8921806	422.294772	393.2993901	443.336832	"Cameroon"	32210232911.66	40804449726.02	23298376	26545864	1537.1302183278	0
"COD"	78.91979979	53.40354141	40.37134417	67.43631294	28.29722767	214.9399291	67.4947491	45.93381355	43.89198721	85.52729436	469.1738055			89.26987998	83.82504092	26.62966719	149.2778603	132.8838217			78.70803188	137.6378055	165.2050609	205.1020866	205.217223	159.9984266	122.378011	183.6820975	238.7875466	332.4939794	374.4756534	341.2246344	491.2768771	395.7337452	295.2360743	295.3483646	352.7095656	362.0916155	306.0787826	"Congo, Dem. Rep."	37917704900.08	48716960860.07	76244532	89561404	543.950392515843	0
"COG"																																								"Congo, Rep."	11890259176.68	10483151093.69	4856093	5518092	1899.77823742156	0
"COL"	859.8136056	889.7308986	716.735061	679.4982009	721.3312064	862.3744042	865.2056628	889.9790745	911.4675892	1102.357227	1529.432893	2005.122888	2619.338187	4318.552316	2988.711261	3389.806738	3247.296766	3027.922793	3264.438192	3347.522602	3278.369503	4056.896991	4914.190182	5326.664238	6775.762767	9051.130502	9033.202673	10422.05449	10306.57851	11706.27191	12503.81263	11845.9509	9127.165375	8675.980823	10018.02982	10134.71959	10167.54786	9554.131505	10180.13429	"Colombia"	293481748240.78	270299982887.01	47520667	50882884	5312.19855554984	0
"COM"																																								"Comoros"	966029542.04	1223876064.52	777435	869595	1407.40927043049	0
"CPV"		3.687650142	3.394021938	4.45443191	4.967860701	5.078572172				3.55790266	2.735413408	3.431398887	6.206630034	4.261939788	4.099737381	4.513154879	5.004734208	6.801072798	4.638556172	4.520858938	5.782831643	6.452150492	7.082416548	6.985154839	7.943659594	10.75871597	8.402927293	8.239369292	9.757536562	9.736385839	9.815671635	10.04886207	8.922219455	10.1712165	9.354384166	10.71407113	9.72806109	11.2792681	11.21372343	"Cabo Verde"	1596800287.16	1703698676.7	524740	555988	3064.27238843284	0
