Id,Label,timeset,indegree,outdegree,Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
chaipilo_friens,chaipilo_friens,,1,0,1,0.000989,0,0,0,0,210
tiffany06892479,tiffany06892479,,1,1,2,0.002748,0,0,0,0,211
dbcooperthe,dbcooperthe,,0,1,1,0,1,1,1,0,212
poppasmurf1997,poppasmurf1997,,1,0,1,0.000989,0,0,0,0,212
treborsf,treborsf,,0,1,1,0,1,1,1,0,1
haxter000,haxter000,,0,1,1,0,1,1,1,0,213
yourresonance_,yourresonance_,,2,0,2,0.001977,0,0,0,0,213
pservati,pservati,,0,1,1,0,1,1,1,0,196
talktobeverley,talktobeverley,,0,3,3,0,1,1,1,0,1
thiszaks,thiszaks,,1,0,1,0.000989,0,0,0,0,1
bmay,bmay,,1,0,1,0.000989,0,0,0,0,1
thealterekho,thealterekho,,0,1,1,0,1,1,1,0,181
steveislit,steveislit,,0,2,2,0,1,1,1,0,214
cobratategg,cobratategg,,1,0,1,0.000989,0,0,0,0,214
cobratate,cobratate,,1,0,1,0.000989,0,0,0,0,214
devanteminnis,devanteminnis,,1,1,2,0.002748,0,0,0,0,215
gilmorecityx,gilmorecityx,,0,3,3,0,1,1,1,0,47
gbpackersone,gbpackersone,,0,2,2,0,1,1,1,0,216
drericding,drericding,,3,0,3,0.004988,0,0,0,0,216
dokhollidays,dokhollidays,,2,1,3,0.001977,1,1,1,0,216
malapatch,malapatch,,0,2,2,0,1,1,1,0,216
alfrede34503939,alfrede34503939,,0,1,1,0,1,1,1,0,1
scarletsdiorx,scarletsdiorx,,0,1,1,0,1,1,1,0,217
rickyrebellover,rickyrebellover,,1,0,1,0.000989,0,0,0,0,217
speechlessrage,speechlessrage,,0,1,1,0,1,1,1,0,218
thedailybeast,thedailybeast,,1,0,1,0.000989,0,0,0,0,218
harbourexpert,harbourexpert,,2,1,3,0.005495,0,0,0,0,219
keesmarges,keesmarges,,0,1,1,0,1,1,1,0,219
melo_sugar,melo_sugar,,0,1,1,0,1,1,1,0,1
mauofthegreen,mauofthegreen,,0,1,1,0,1,1,1,0,1
ikmgls,ikmgls,,1,1,2,0.002748,0,0,0,0,220
jrm_cpz,jrm_cpz,,0,2,2,0,1,1,1,0,0
antoniamarrero,antoniamarrero,,2,1,3,0.005495,0,0,0,0,221
kiptw,kiptw,,0,1,1,0,1,1,1,0,221
greg_zulu_alpha,greg_zulu_alpha,,1,1,2,0.002748,0,0,0,0,222
dianeroper,dianeroper,,0,2,2,0,1,1,1,0,1
missufex2022,missufex2022,,0,2,2,0,1,1,1,0,0
suryapr52118975,suryapr52118975,,0,1,1,0,1,1,1,0,6
tanwirr_1,tanwirr_1,,0,1,1,0,1,1,1,0,0
truegovpr,truegovpr,,1,1,2,0.000989,1,1,1,0,223
fatemperor,fatemperor,,2,0,2,0.002988,0,0,0,0,223
mr__stefano,mr__stefano,,0,2,2,0,1,1,1,0,223
luckymet_t,luckymet_t,,0,2,2,0,1,1,1,0,0
cerebralaudio,cerebralaudio,,2,1,3,0.005495,0,0,0,0,224
peachybrets,peachybrets,,0,1,1,0,1,1,1,0,224
marthap29033882,marthap29033882,,0,1,1,0,1,1,1,0,225
duty2warn,duty2warn,,1,0,1,0.000989,0,0,0,0,225
entarchs,entarchs,,0,1,1,0,1,1,1,0,45
hamptonbaberuth,hamptonbaberuth,,0,1,1,0,1,1,1,0,1
lkhizi,lkhizi,,0,1,1,0,1,1,1,0,1
paoloigna1,paoloigna1,,0,1,1,0,1,1,1,0,226
gammadonna_,gammadonna_,,1,0,1,0.000989,0,0,0,0,226
swachhhyd,swachhhyd,,0,4,4,0,1,1,1,0,189
boyd_eskelson,boyd_eskelson,,1,1,2,0.002748,0,0,0,0,227
rahulmandal6011,rahulmandal6011,,0,1,1,0,1,1,1,0,117
soulfulgardens,soulfulgardens,,0,1,1,0,1,1,1,0,228
rlycalm,rlycalm,,1,0,1,0.000989,0,0,0,0,228
luckydisyembr3_,luckydisyembr3_,,0,2,2,0,1,1,1,0,0
zaid0342,zaid0342,,0,1,1,0,1,1,1,0,229
ptishoaib1,ptishoaib1,,1,0,1,0.000989,0,0,0,0,229
nitin_kadiyan,nitin_kadiyan,,0,1,1,0,1,1,1,0,0
nytimesbusiness,nytimesbusiness,,1,1,2,0.002748,0,0,0,0,230
nthlondonhippy,nthlondonhippy,,1,1,2,0.002748,0,0,0,0,231
vijayveriyan01,vijayveriyan01,,2,1,3,0.005495,0,0,0,0,232
smm_news_feed,smm_news_feed,,0,1,1,0,1,1,1,0,232
rakaja_mom,rakaja_mom,,0,4,4,0,1,1,1,0,8
nowvemb1gwin5,nowvemb1gwin5,,0,2,2,0,1,1,1,0,0
bre_miche,bre_miche,,1,1,2,0.002748,0,0,0,0,233
sabimaru,sabimaru,,0,1,1,0,1,1,1,0,85
maryjopowers12,maryjopowers12,,0,1,1,0,1,1,1,0,1
nar_handle,nar_handle,,0,4,4,0,1,1,1,0,189
diggydownie,diggydownie,,0,1,1,0,1,1,1,0,1
oursharedvalues,oursharedvalues,,0,1,1,0,1,1,1,0,1
sumitom44,sumitom44,,0,1,1,0,1,1,1,0,117
tommasinaresist,tommasinaresist,,0,1,1,0,1,1,1,0,1
him_special,him_special,,0,1,1,0,1,1,1,0,234
ali_raza799,ali_raza799,,1,0,1,0.000989,0,0,0,0,234
___my_home___,___my_home___,,0,1,1,0,1,1,1,0,1
e_hunyadi,e_hunyadi,,0,1,1,0,1,1,1,0,235
thetweetofgod,thetweetofgod,,1,0,1,0.000989,0,0,0,0,235
ramugudala2,ramugudala2,,0,4,4,0,1,1,1,0,189
kejdys,kejdys,,0,1,1,0,1,1,1,0,1
shaikhudha,shaikhudha,,0,1,1,0,1,1,1,0,1
ashokalgude,ashokalgude,,0,1,1,0,1,1,1,0,236
akhilbha58,akhilbha58,,1,0,1,0.000989,0,0,0,0,236
hera22112013,hera22112013,,0,1,1,0,1,1,1,0,68
cerebralmix,cerebralmix,,1,1,2,0.002748,0,0,0,0,237
mdfromny,mdfromny,,0,1,1,0,1,1,1,0,85
amylynnbest,amylynnbest,,0,1,1,0,1,1,1,0,63
bright8694,bright8694,,0,1,1,0,1,1,1,0,2
rickgaehl,rickgaehl,,0,1,1,0,1,1,1,0,238
russellengland,russellengland,,1,0,1,0.000989,0,0,0,0,238
82aimar,82aimar,,1,1,2,0.002748,0,0,0,0,239
marygdehoyos2,marygdehoyos2,,0,1,1,0,1,1,1,0,1
amigoo_9,amigoo_9,,0,1,1,0,1,1,1,0,0
jphmad1,jphmad1,,1,1,2,0.002748,0,0,0,0,240
i00j7,i00j7,,0,1,1,0,1,1,1,0,1
_pizzakitty,_pizzakitty,,0,1,1,0,1,1,1,0,1
28akisaki,28akisaki,,0,1,1,0,1,1,1,0,1
fortytw61678898,fortytw61678898,,0,1,1,0,1,1,1,0,1
jermarcusrobin1,jermarcusrobin1,,0,4,4,0,1,1,1,0,85
zincodrone,zincodrone,,1,0,1,0.000989,0,0,0,0,85
boriscummings7,boriscummings7,,1,0,1,0.000989,0,0,0,0,85
atvtourismus,atvtourismus,,2,1,3,0.005495,0,0,0,0,85
newsgroupmedia,newsgroupmedia,,1,4,5,0.002748,1,1,1,0,241
kchirutweets,kchirutweets,,1,0,1,0.002748,0,0,0,0,241
musicthaman,musicthaman,,1,0,1,0.002748,0,0,0,0,241
rahulgandhi,rahulgandhi,,1,0,1,0.002748,0,0,0,0,241
jaycoxliberal1,jaycoxliberal1,,0,1,1,0,1,1,1,0,1
unghvary,unghvary,,0,1,1,0,1,1,1,0,0
pircqv8qxobi5hh,pircqv8qxobi5hh,,0,1,1,0,1,1,1,0,1
gemtv7,gemtv7,,2,1,3,0.005495,0,0,0,0,242
mrchand82480921,mrchand82480921,,0,1,1,0,1,1,1,0,242
michaelcorleyny,michaelcorleyny,,0,1,1,0,1,1,1,0,243
errollouis,errollouis,,1,0,1,0.000989,0,0,0,0,243
ripsaus,ripsaus,,1,1,2,0.002748,0,0,0,0,244
melanerd,melanerd,,0,1,1,0,1,1,1,0,1
toreheliks,toreheliks,,2,1,3,0.005495,0,0,0,0,245
besserwisser45,besserwisser45,,0,1,1,0,1,1,1,0,245
getinspired300s,getinspired300s,,0,1,1,0,1,1,1,0,246
vocal_creators,vocal_creators,,1,0,1,0.000989,0,0,0,0,246
jordanbk124,jordanbk124,,0,1,1,0,1,1,1,0,4
churume106,churume106,,0,1,1,0,1,1,1,0,1
limeritweets,limeritweets,,1,3,4,0.002748,1,1,1,0,247
mikesington,mikesington,,1,0,1,0.002748,0,0,0,0,247
deeleftmom,deeleftmom,,1,0,1,0.002748,0,0,0,0,247
danielle_excell,danielle_excell,,0,1,1,0,1,1,1,0,1
jewels_juls,jewels_juls,,2,1,3,0.005495,0,0,0,0,248
billywhizz101,billywhizz101,,0,1,1,0,1,1,1,0,248
manishg51834604,manishg51834604,,0,1,1,0,1,1,1,0,117
mr_morphy,mr_morphy,,0,2,2,0,1,1,1,0,92
moumounepujol,moumounepujol,,0,1,1,0,1,1,1,0,1
thelastpersont2,thelastpersont2,,0,1,1,0,1,1,1,0,0
pm_fran01,pm_fran01,,1,1,2,0.002748,0,0,0,0,249
nervybastard,nervybastard,,0,1,1,0,1,1,1,0,1
