iso3	interview_id	q86
SGP	702070352	3
SGP	702070353	3
SGP	702070354	3
SGP	702070355	4
SGP	702070356	2
SGP	702070358	4
SGP	702070360	3
SGP	702070361	3
SGP	702070365	3
SGP	702070366	4
SGP	702070367	2
SGP	702070368	3
SGP	702070371	4
SGP	702070373	3
SGP	702070375	4
SGP	702070376	3
SGP	702070378	2
SGP	702070379	4
SGP	702070380	2
SGP	702070381	3
SGP	702070382	2
SGP	702070383	3
SGP	702070384	3
SGP	702070385	1
SGP	702070386	3
SGP	702070387	4
SGP	702070388	2
SGP	702070389	3
SGP	702070390	2
SGP	702070391	2
SGP	702070393	2
SGP	702070394	4
SGP	702070395	3
SGP	702070396	4
SGP	702070397	3
SGP	702070398	2
SGP	702070399	2
SGP	702070401	2
SGP	702070402	2
SGP	702070404	3
SGP	702070405	3
SGP	702070406	3
SGP	702070408	2
SGP	702070410	3
SGP	702070411	2
SGP	702070412	3
SGP	702070413	2
SGP	702070414	3
SGP	702070415	2
SGP	702070418	2
SGP	702070419	2
SGP	702070420	3
SGP	702070421	4
SGP	702070422	3
SGP	702070423	3
SGP	702070424	4
SGP	702070425	2
SGP	702070426	2
SGP	702070427	1
SGP	702070428	3
SGP	702070429	2
SGP	702070430	2
SGP	702070431	2
SGP	702070432	3
SGP	702070433	1
SGP	702070434	3
SGP	702070435	3
SGP	702070436	2
SGP	702070437	3
SGP	702070438	2
SGP	702070439	2
SGP	702070440	2
SGP	702070442	2
SGP	702070443	3
SGP	702070444	3
SGP	702070445	3
SGP	702070448	3
SGP	702070449	2
SGP	702070453	3
SGP	702070454	3
SGP	702070456	3
SGP	702070457	2
SGP	702070458	3
SGP	702070459	3
SGP	702070460	2
SGP	702070461	3
SGP	702070463	3
SGP	702070464	2
SGP	702070465	3
SGP	702070467	3
SGP	702070468	3
SGP	702070469	3
SGP	702070470	2
SGP	702070471	2
SGP	702070472	3
SGP	702070473	2
SGP	702070474	2
SGP	702070476	3
SGP	702070477	2
SGP	702070480	2
SGP	702070482	2
SGP	702070483	3
SGP	702070484	3
SGP	702070487	2
SGP	702070488	3
SGP	702070489	2
SGP	702070490	2
SGP	702070491	3
SGP	702070492	3
SGP	702070493	1
SGP	702070494	3
SGP	702070495	2
SGP	702070501	2
SGP	702070502	3
SGP	702070503	1
SGP	702070504	2
SGP	702070505	2
SGP	702070507	3
SGP	702070508	2
SGP	702070510	4
SGP	702070511	2
SGP	702070512	3
SGP	702070513	2
SGP	702070514	2
SGP	702070515	3
SGP	702070516	2
SGP	702070517	2
SGP	702070519	2
SGP	702070521	3
SGP	702070522	2
SGP	702070523	2
SGP	702070524	1
SGP	702070525	3
SGP	702070527	2
SGP	702070528	3
SGP	702070529	3
SGP	702070533	3
SGP	702070534	3
SGP	702070535	2
SGP	702070539	2
SGP	702070540	2
